,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
0,QB,Peyton Manning,IND,24,2.0,16,16,357,571,4413,33,15,37,116,1,0,0,0,,0.0,0,AP: 2nd Tm,2000
1,TE,Frank Wycheck,TEN,29,7.0,16,16,2,2,53,1,0,0,0,0,70,636,4,0.0,0.0,0,AP: 2nd Tm,2000
2,T,Kyle Turley,NOR,25,2.0,16,16,0,0,0,0,0,0,0,0,1,16,0,,0.0,0,AP: 1st Tm,2000
3,G,Ruben Brown,BUF,28,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2000
4,C,Kevin Mawae,NYJ,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"AP: 2nd Tm, FW: 1st Tm",2000
5,EDGE,Rob Burnett,BAL,33,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,39.0,10.5,1,AP: 2nd Tm,2000
6,DT,Keith Hamilton,NYG,29,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,42.0,10.0,0,AP: 2nd Tm,2000
7,EDGE,Jessie Armstead,NYG,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,76.0,5.0,1,AP: 2nd Tm,2000
8,LB,Randall Godfrey,TEN,27,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,98.0,3.0,2,AP: 2nd Tm,2000
9,LB,Stephen Boyd,DET,28,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,77.0,0.5,1,AP: 2nd Tm,2000
10,LB,Sam Cowart,BUF,25,2.0,12,12,0,0,0,0,0,0,0,0,0,0,0,88.0,5.5,2,AP: 2nd Tm,2000
11,CB,Charles Woodson,OAK,24,2.0,16,16,0,0,0,0,0,0,0,0,1,8,0,66.0,0.0,4,AP: 2nd Tm,2000
12,S,Blaine Bishop,TEN,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,57.0,2.5,0,AP: 2nd Tm,2000
13,P,Shane Lechler,OAK,24,,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"AP: 1st Tm, SN: 1st Tm",2000
